order_id,order_date,region,category,product,customer,quantity,unit_price,unit_cost,discount
SS-1001,2025-01-05,North,Electronics,Wireless Headphones,Atlas Retail,3,149.99,82.00,0.05
SS-1002,2025-01-08,West,Furniture,Ergonomic Chair,Northstar Labs,2,399.00,235.00,0.00
SS-1003,2025-01-13,South,Office Supplies,Premium Notebook,Beacon Co,12,18.50,6.20,0.10
SS-1004,2025-01-21,East,Electronics,4K Monitor,Vertex Systems,4,529.00,315.00,0.08
SS-1005,2025-02-03,West,Office Supplies,Mechanical Keyboard,Maple Studio,5,129.00,65.00,0.00
SS-1006,2025-02-09,North,Furniture,Standing Desk,Orion Group,3,699.00,410.00,0.05
SS-1007,2025-02-14,East,Electronics,Wireless Headphones,Harbor Goods,8,149.99,82.00,0.00
SS-1008,2025-02-27,South,Furniture,Ergonomic Chair,Juniper Health,4,399.00,235.00,0.10
SS-1009,2025-03-04,North,Office Supplies,Premium Notebook,Atlas Retail,20,18.50,6.20,0.00
SS-1010,2025-03-11,West,Electronics,4K Monitor,Northstar Labs,3,529.00,315.00,0.05
SS-1011,2025-03-18,East,Furniture,Standing Desk,Beacon Co,2,699.00,410.00,0.00
SS-1012,2025-03-25,South,Electronics,Mechanical Keyboard,Vertex Systems,7,129.00,65.00,0.12
SS-1013,2025-04-02,West,Furniture,Ergonomic Chair,Maple Studio,6,399.00,235.00,0.03
SS-1014,2025-04-08,North,Electronics,Wireless Headphones,Orion Group,10,149.99,82.00,0.05
SS-1015,2025-04-16,South,Office Supplies,Premium Notebook,Harbor Goods,30,18.50,6.20,0.00
SS-1016,2025-04-29,East,Electronics,4K Monitor,Juniper Health,5,529.00,315.00,0.10
SS-1017,2025-05-06,North,Furniture,Standing Desk,Atlas Retail,4,699.00,410.00,0.00
SS-1018,2025-05-12,West,Office Supplies,Mechanical Keyboard,Northstar Labs,9,129.00,65.00,0.05
SS-1019,2025-05-20,East,Furniture,Ergonomic Chair,Beacon Co,3,399.00,235.00,0.00
SS-1020,2025-05-28,South,Electronics,Wireless Headphones,Vertex Systems,11,149.99,82.00,0.08
SS-1021,2025-06-03,West,Electronics,4K Monitor,Maple Studio,6,529.00,315.00,0.00
SS-1022,2025-06-10,North,Office Supplies,Premium Notebook,Orion Group,24,18.50,6.20,0.05
SS-1023,2025-06-18,South,Furniture,Standing Desk,Harbor Goods,2,699.00,410.00,0.10
SS-1024,2025-06-27,East,Office Supplies,Mechanical Keyboard,Juniper Health,8,129.00,65.00,0.00
